method,split,auroc,acc,real_acc,fake_acc
M1_raw,combiner_fit,0.8816347777777778,0.7833333333333333,0.7233333333333334,0.8433333333333334
M2_raw,combiner_fit,0.5838354444444445,0.5671666666666667,0.913,0.22133333333333333
M3_raw,combiner_fit,0.854449888888889,0.754,0.868,0.64
M1_cal,combiner_fit,0.8816347777777778,0.8138333333333333,0.8336666666666667,0.794
M2_cal,combiner_fit,0.5838354444444445,0.5616666666666666,0.578,0.5453333333333333
M3_cal,combiner_fit,0.854449888888889,0.77,0.7423333333333333,0.7976666666666666
mean_prob,combiner_fit,0.9271090000000001,0.8496666666666667,0.861,0.8383333333333334
majority_vote,combiner_fit,0.8629336111111111,0.8158333333333333,0.8136666666666666,0.818
combiner_logreg,combiner_fit,0.9377270000000002,0.864,0.8883333333333333,0.8396666666666667
combiner_mlp,combiner_fit,0.9386986666666668,0.8665,0.8916666666666667,0.8413333333333334
M1_raw,eval,0.7573857518056468,0.5678399091683225,0.268,0.9615889691398556
M2_raw,eval,0.4876641086671044,0.5430031223389157,0.9075,0.06434668417596848
M3_raw,eval,0.6420402987524624,0.628725518024411,0.9055,0.26526592252133946
M1_cal,eval,0.7573857518056468,0.6220550667045132,0.41225,0.8975705843729481
M2_cal,eval,0.48766382140512143,0.49318762418393414,0.581,0.37787261982928433
M3_cal,eval,0.6420836342744582,0.6332671019017883,0.8255,0.3808273145108339
mean_prob,eval,0.7379897406434668,0.6700255464093102,0.7395,0.5787918581746553
majority_vote,eval,0.6467900935653315,0.6121203519727505,0.66025,0.5489166119500984
combiner_logreg,eval,0.723758043335522,0.6809537326142492,0.731,0.6152330925804333
combiner_mlp,eval,0.7202629678266579,0.6785410161793926,0.72775,0.6139198949441891
